Iteration: 5, Train: 88.52%, Test: 83.10%
Iteration: 10, Train: 90.98%, Test: 83.20%
Iteration: 15, Train: 94.26%, Test: 86.70%
Iteration: 20, Train: 93.20%, Test: 84.70%
Iteration: 25, Train: 97.00%, Test: 89.20%
Iteration: 30, Train: 98.36%, Test: 88.40%
Iteration: 35, Train: 98.96%, Test: 88.30%
Iteration: 40, Train: 99.30%, Test: 89.70%
Iteration: 45, Train: 98.92%, Test: 89.00%
Iteration: 50, Train: 99.50%, Test: 88.70%
Iteration: 55, Train: 99.44%, Test: 89.90%
Iteration: 60, Train: 98.38%, Test: 89.30%
Iteration: 65, Train: 99.68%, Test: 89.10%
Iteration: 70, Train: 99.64%, Test: 88.40%
Iteration: 75, Train: 99.78%, Test: 89.70%
Iteration: 80, Train: 99.92%, Test: 89.00%
Iteration: 85, Train: 99.92%, Test: 89.00%
Iteration: 90, Train: 99.98%, Test: 89.30%
Iteration: 95, Train: 99.90%, Test: 89.70%
Iteration: 100, Train: 99.96%, Test: 89.50%
