<experiment> rnn on mnist
[progress] epoch: 1
(train) loss: 85.5930, accuracy: 48.57%
	class: 0, rate: 60.83%
	class: 1, rate: 76.86%
	class: 2, rate: 39.22%
	class: 3, rate: 49.80%
	class: 4, rate: 61.13%
	class: 5, rate: 3.38%
	class: 6, rate: 66.31%
	class: 7, rate: 60.94%
	class: 8, rate: 17.60%
	class: 9, rate: 41.03%
(test) loss: 9.5321, accuracy: 66.86%
	class: 0, rate: 69.29%
	class: 1, rate: 97.18%
	class: 2, rate: 75.68%
	class: 3, rate: 58.32%
	class: 4, rate: 73.63%
	class: 5, rate: 4.71%
	class: 6, rate: 83.19%
	class: 7, rate: 89.98%
	class: 8, rate: 33.68%
	class: 9, rate: 71.26%
[progress] epoch: 2
(train) loss: 47.0721, accuracy: 74.44%
	class: 0, rate: 84.25%
	class: 1, rate: 93.73%
	class: 2, rate: 76.30%
	class: 3, rate: 62.31%
	class: 4, rate: 84.47%
	class: 5, rate: 19.52%
	class: 6, rate: 87.70%
	class: 7, rate: 89.31%
	class: 8, rate: 66.54%
	class: 9, rate: 72.63%
(test) loss: 6.3217, accuracy: 80.60%
	class: 0, rate: 94.18%
	class: 1, rate: 97.53%
	class: 2, rate: 86.53%
	class: 3, rate: 79.01%
	class: 4, rate: 90.12%
	class: 5, rate: 19.62%
	class: 6, rate: 90.29%
	class: 7, rate: 87.06%
	class: 8, rate: 73.51%
	class: 9, rate: 79.58%
[progress] epoch: 3
(train) loss: 33.4251, accuracy: 82.32%
	class: 0, rate: 93.01%
	class: 1, rate: 94.32%
	class: 2, rate: 85.50%
	class: 3, rate: 70.85%
	class: 4, rate: 89.27%
	class: 5, rate: 46.84%
	class: 6, rate: 90.77%
	class: 7, rate: 89.67%
	class: 8, rate: 77.97%
	class: 9, rate: 80.32%
(test) loss: 4.7823, accuracy: 85.10%
	class: 0, rate: 96.22%
	class: 1, rate: 96.30%
	class: 2, rate: 86.05%
	class: 3, rate: 74.95%
	class: 4, rate: 95.82%
	class: 5, rate: 59.98%
	class: 6, rate: 88.83%
	class: 7, rate: 89.69%
	class: 8, rate: 79.26%
	class: 9, rate: 80.08%
[progress] epoch: 4
(train) loss: 25.1419, accuracy: 87.00%
	class: 0, rate: 95.21%
	class: 1, rate: 95.46%
	class: 2, rate: 87.78%
	class: 3, rate: 80.70%
	class: 4, rate: 90.62%
	class: 5, rate: 66.78%
	class: 6, rate: 92.38%
	class: 7, rate: 91.14%
	class: 8, rate: 83.66%
	class: 9, rate: 83.43%
(test) loss: 4.1556, accuracy: 86.85%
	class: 0, rate: 92.76%
	class: 1, rate: 98.06%
	class: 2, rate: 84.59%
	class: 3, rate: 74.16%
	class: 4, rate: 95.11%
	class: 5, rate: 76.01%
	class: 6, rate: 95.72%
	class: 7, rate: 89.20%
	class: 8, rate: 86.34%
	class: 9, rate: 74.73%
[progress] epoch: 5
(train) loss: 19.8796, accuracy: 89.92%
	class: 0, rate: 95.24%
	class: 1, rate: 96.16%
	class: 2, rate: 89.74%
	class: 3, rate: 84.96%
	class: 4, rate: 91.36%
	class: 5, rate: 78.55%
	class: 6, rate: 94.17%
	class: 7, rate: 93.15%
	class: 8, rate: 87.16%
	class: 9, rate: 86.91%
(test) loss: 3.0336, accuracy: 90.90%
